GEOID10,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,HOUSING10,POP10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
6.0014E+13,6,1,400100,1000,0,0,590336,0,38,-122
6.0014E+13,6,1,400100,1001,0,0,22089,0,38,-122
6.0014E+13,6,1,400100,1002,0,0,9433,0,38,-122
6.0014E+13,6,1,400100,1003,0,0,1354,0,38,-122
6.0014E+13,6,1,400100,1004,0,0,7977,0,38,-122
6.0014E+13,6,1,400100,1005,0,0,2611,0,38,-122
6.0014E+13,6,1,400100,1006,0,0,3590,0,38,-122
6.0014E+13,6,1,400100,1007,56,117,1916441,0,38,-122
6.0014E+13,6,1,400100,1008,10,20,22169,0,38,-122
6.0014E+13,6,1,400100,1009,0,0,163944,0,38,-122
6.0014E+13,6,1,400100,1010,0,0,39167,0,38,-122
6.0014E+13,6,1,400100,1011,6,13,9201,0,38,-122
6.0014E+13,6,1,400100,1012,0,0,106136,0,38,-122
6.0014E+13,6,1,400100,1013,3,1,86073,0,38,-122
6.0014E+13,6,1,400100,1014,10,20,167451,0,38,-122
6.0014E+13,6,1,400100,1015,14,33,144504,0,38,-122
6.0014E+13,6,1,400100,1016,0,0,55509,0,38,-122
6.0014E+13,6,1,400100,1017,8,15,52677,0,38,-122
6.0014E+13,6,1,400100,1018,0,0,22604,0,38,-122
6.0014E+13,6,1,400100,1019,0,0,446,0,38,-122
6.0014E+13,6,1,400100,1020,0,0,22275,0,38,-122
6.0014E+13,6,1,400100,1021,0,0,34677,0,38,-122
6.0014E+13,6,1,400100,1022,0,0,3524,0,38,-122
6.0014E+13,6,1,400100,1023,0,0,35699,0,38,-122
6.0014E+13,6,1,400100,1024,146,316,249433,0,38,-122
6.0014E+13,6,1,400100,1025,0,0,10326,0,38,-122
6.0014E+13,6,1,400100,1026,71,161,64143,0,38,-122
6.0014E+13,6,1,400100,1027,58,147,437022,0,38,-122
6.0014E+13,6,1,400100,1028,2,7,2574,0,38,-122
6.0014E+13,6,1,400100,1029,3,3,299209,0,38,-122
6.0014E+13,6,1,400100,1030,0,0,300387,0,38,-122
6.0014E+13,6,1,400100,1031,0,0,87789,0,38,-122
6.0014E+13,6,1,400100,1032,16,22,11450,0,38,-122
6.0014E+13,6,1,400100,1033,82,207,139393,0,38,-122
6.0014E+13,6,1,400100,1034,13,30,16045,0,38,-122
6.0014E+13,6,1,400100,1035,0,0,1240,0,38,-122
6.0014E+13,6,1,400100,1036,106,229,291826,0,38,-122
6.0014E+13,6,1,400100,1037,10,28,27501,0,38,-122
6.0014E+13,6,1,400100,1038,17,40,21867,0,38,-122
6.0014E+13,6,1,400100,1039,42,123,297953,0,38,-122
6.0014E+13,6,1,400100,1040,7,17,57709,0,38,-122
6.0014E+13,6,1,400100,1041,6,11,11460,0,38,-122
6.0014E+13,6,1,400100,1042,6,13,7823,0,38,-122
6.0014E+13,6,1,400100,1043,21,47,28246,0,38,-122
6.0014E+13,6,1,400100,1044,64,153,61255,0,38,-122
6.0014E+13,6,1,400100,1045,23,55,27802,0,38,-122
6.0014E+13,6,1,400100,1046,27,62,76705,0,38,-122
6.0014E+13,6,1,400100,1047,18,46,58681,0,38,-122
6.0014E+13,6,1,400100,1048,0,0,18742,0,38,-122
6.0014E+13,6,1,400100,1049,53,128,95069,0,38,-122
6.0014E+13,6,1,400100,1050,3,6,4375,0,38,-122
6.0014E+13,6,1,400100,1051,16,34,17080,0,38,-122
6.0014E+13,6,1,400100,1052,13,23,14001,0,38,-122
6.0014E+13,6,1,400100,1053,31,54,48716,0,38,-122
6.0014E+13,6,1,400100,1054,39,62,21693,0,38,-122
6.0014E+13,6,1,400100,1055,8,13,2771,0,38,-122
6.0014E+13,6,1,400100,1056,46,85,31354,0,38,-122
6.0014E+13,6,1,400100,1057,21,48,42542,0,38,-122
6.0014E+13,6,1,400100,1058,71,118,124422,0,38,-122
6.0014E+13,6,1,400100,1059,24,37,9356,0,38,-122
6.0014E+13,6,1,400100,1060,33,52,13165,0,38,-122
6.0014E+13,6,1,400100,1061,44,69,30027,0,38,-122
6.0014E+13,6,1,400100,1062,23,37,155097,0,38,-122
6.0014E+13,6,1,400100,1063,6,16,11834,0,38,-122
6.0014E+13,6,1,400100,1064,0,0,5424,0,38,-122
6.0014E+13,6,1,400100,1065,0,0,6626,0,38,-122
6.0014E+13,6,1,400100,1066,10,23,11272,0,38,-122
6.0014E+13,6,1,400100,1067,6,16,7548,0,38,-122
6.0014E+13,6,1,400100,1068,4,11,6387,0,38,-122
6.0014E+13,6,1,400100,1069,3,10,14919,0,38,-122
6.0014E+13,6,1,400100,1070,0,0,1257,0,38,-122
6.0014E+13,6,1,400100,1071,0,0,1504,0,38,-122
6.0014E+13,6,1,400100,1072,0,0,974,0,38,-122
6.0014E+13,6,1,400100,1073,0,0,4066,0,38,-122
6.0014E+13,6,1,400100,1074,33,60,12522,0,38,-122
6.0014E+13,6,1,400100,1075,20,24,20017,0,38,-122
6.0014E+13,6,1,400100,1076,44,75,41759,0,38,-122
6.0014E+13,6,1,400200,1000,15,39,8172,0,38,-122
6.0014E+13,6,1,400200,1001,24,54,14302,0,38,-122
6.0014E+13,6,1,400200,1002,53,107,36527,0,38,-122
6.0014E+13,6,1,400200,1003,10,20,8562,0,38,-122
6.0014E+13,6,1,400200,1004,35,88,27636,0,38,-122
6.0014E+13,6,1,400200,1005,13,32,7591,0,38,-122
6.0014E+13,6,1,400200,1006,16,42,8807,0,38,-122
6.0014E+13,6,1,400200,1007,8,14,1525,0,38,-122
6.0014E+13,6,1,400200,1008,18,41,8522,0,38,-122
6.0014E+13,6,1,400200,1009,13,35,9747,0,38,-122
6.0014E+13,6,1,400200,1010,34,89,21061,0,38,-122
6.0014E+13,6,1,400200,1011,17,35,9242,0,38,-122
6.0014E+13,6,1,400200,1012,3,6,11702,0,38,-122
6.0014E+13,6,1,400200,1013,0,0,1880,0,38,-122
6.0014E+13,6,1,400200,1014,25,59,12898,0,38,-122
6.0014E+13,6,1,400200,1015,6,10,11515,0,38,-122
6.0014E+13,6,1,400200,1016,6,9,674,0,38,-122
6.0014E+13,6,1,400200,1017,0,0,720,0,38,-122
